HOST=wqd10nah10g5
HOST=wqd10nah09g3
HOST=wqd10nbj06g2
0, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-20b462ec-0729-3cf8-acac-b41308e38bf6
1, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-439625c0-4b7b-bc3c-fa8a-a0bbed5c57a7
2, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-13704586-0768-4e92-b9fb-0a29d0c72db5
3, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-badf93f2-14eb-92ff-273c-7f77ba26febc
0, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-a65c3d2e-0a57-12e8-2fad-a4b2b28b2447
1, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-e3775b1a-ec07-aaf5-84e6-ac2f85e4ce5c
2, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-a033a324-00db-d442-7c94-15b35ec594fc
3, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-a5e7e551-20f6-b4ad-3f1a-abbc1d3d8f90
HOST=wqd10nbj04g5
0, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-331022d2-1189-487c-cdb5-2a2590f36eab
1, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-094d407e-d708-b790-4ae5-4ff1b30b8a23
2, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-19bd788e-b80c-8a18-1c35-62c5cccd76ae
3, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-7b1e60ef-57df-75ed-362a-a41af286b12c
0, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-fff52311-b78d-13a6-6555-e03ecb9c8933
1, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-94566b41-d19a-e8a0-7ee0-4d5f00429c27
2, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-c7ff5ef4-792a-811e-0fcf-436be9060c8c
3, NVIDIA GeForce RTX 5090, 32607 MiB, GPU-66238641-39c2-5b9b-18fe-f5bfe53dd5b7
