JobID|JobName|Partition|State|ExitCode|Elapsed|AllocTRES
1595612|p529m-f2n1-cf-read|gpu_4090|COMPLETED|0:0|00:02:01|billing=12,cpu=12,gres/gpu=2,mem=120000M,node=1
1595612.batch|batch||COMPLETED|0:0|00:02:01|cpu=12,gres/gpu=2,mem=120000M,node=1
1595612.extern|extern||COMPLETED|0:0|00:02:01|billing=12,cpu=12,gres/gpu=2,mem=120000M,node=1
1595613|p529m-f2n1-cf-math|gpu_4090|COMPLETED|0:0|00:04:30|billing=12,cpu=12,gres/gpu=2,mem=120000M,node=1
1595613.batch|batch||COMPLETED|0:0|00:04:30|cpu=12,gres/gpu=2,mem=120000M,node=1
1595613.extern|extern||COMPLETED|0:0|00:04:30|billing=12,cpu=12,gres/gpu=2,mem=120000M,node=1
1595614|p529m-f2n1-cf-code|gpu_4090|COMPLETED|0:0|00:22:43|billing=12,cpu=12,gres/gpu=2,mem=120000M,node=1
1595614.batch|batch||COMPLETED|0:0|00:22:43|cpu=12,gres/gpu=2,mem=120000M,node=1
1595614.extern|extern||COMPLETED|0:0|00:22:43|billing=12,cpu=12,gres/gpu=2,mem=120000M,node=1
1595615|p529m-f2n1-cf-know|gpu_4090|COMPLETED|0:0|00:01:41|billing=12,cpu=12,gres/gpu=2,mem=120000M,node=1
1595615.batch|batch||COMPLETED|0:0|00:01:41|cpu=12,gres/gpu=2,mem=120000M,node=1
1595615.extern|extern||COMPLETED|0:0|00:01:41|billing=12,cpu=12,gres/gpu=2,mem=120000M,node=1
