window,declared_step_start,declared_step_end,covered_step_start,covered_step_end,sample_count,first_wall_unix,last_wall_unix,sum_model_flops_per_second,sum_reciprocal_model_flops_per_second,mean_model_flops_per_second,harmonic_model_flops_per_second,sum_tokens_per_second,harmonic_tokens_per_second,covered_logger_seconds
1,1,500,5,500,496,1787554266.056376,1787594479.066605,46640770806972416.000000,5.27470195738688124e-12,94033812110831.484375,94033749016924.812500,6377076.033203,12856.999504753,40294.166598396
2,501,1000,501,1000,500,1787594653.510720,1787635238.730273,46878571402100736.000000,5.33562468695572255e-12,93757142804201.468750,93709739596635.390625,6409589.898438,12812.698473429,40759.563731483
3,1001,1500,1001,1500,500,1787635404.874160,1787675998.746922,46874370244608000.000000,5.33568840038677493e-12,93748740489216.000000,93708620609058.781250,6409015.465820,12812.545440427,40760.050563584
4,1501,2000,1501,2000,500,1787676183.931267,1787716771.533406,46868455227392000.000000,5.33734541966160519e-12,93736910454784.000000,93679528058669.406250,6408206.733398,12808.567717076,40772.708669350
5,2001,2500,2001,2500,500,1787716958.932130,1787757539.892180,46874561370652672.000000,5.33679099192381411e-12,93749122741305.343750,93689260223353.671875,6409041.619141,12809.898385560,40768.473276003
6,2501,3000,2501,3000,500,1787757700.699440,1787798273.735135,46902331874213888.000000,5.33225352684554702e-12,93804663748427.781250,93768984817154.750000,6412838.586914,12820.798884726,40733.811106122
7,3001,3500,3001,3500,500,1787798435.329032,1787839010.772957,46899004247638016.000000,5.33267249588271493e-12,93798008495276.031250,93761617722829.093750,6412383.632812,12819.791645760,40737.011523330
8,3501,4000,3501,4000,500,1787839172.421642,1787879760.619718,46884227689480192.000000,5.33435188738082345e-12,93768455378960.390625,93732099148318.640625,6410363.275391,12815.755652761,40749.840598552
9,4001,4500,4001,4500,500,1787879943.815684,1787920530.490049,46870757271142400.000000,5.33697709381861346e-12,93741514542284.796875,93685993252455.468750,6408521.487305,12809.451688639,40769.894972412
10,4501,5000,4501,5000,500,1787920680.806362,1787961268.989350,46892941750304768.000000,5.33286392189206737e-12,93785883500609.531250,93758252099296.593750,6411554.724609,12819.331475840,40738.473841965
11,5001,5500,5001,5500,500,1787961416.710657,1788001983.583078,46919477249441792.000000,5.32974973881899183e-12,93838954498883.578125,93813035227202.609375,6415182.839844,12826.821801780,40714.684281925
12,5501,6000,5501,6000,500,1788002133.728539,1788042700.642598,46917463186604032.000000,5.33006967384572756e-12,93834926373208.062500,93807404142100.500000,6414907.491211,12826.051938260,40717.128116578
13,6001,6500,6001,6500,500,1788042850.010998,1788083408.741087,46927616640286720.000000,5.32888203028972002e-12,93855233280573.437500,93828310921121.296875,6416295.737305,12828.910447134,40708.055617980
14,6501,7000,6501,7000,500,1788083558.232588,1788124113.163273,46931851150884864.000000,5.32841352507650969e-12,93863702301769.734375,93836560853790.078125,6416874.700195,12830.038418112,40704.476711679
15,7001,7500,7001,7500,500,1788124281.948582,1788164840.560200,46913182463164416.000000,5.33140123793722795e-12,93826364926328.828125,93783974922408.015625,6414322.197266,12822.848515945,40727.300127628
16,7501,8000,7501,8000,500,1788165012.729551,1788205564.856038,46918125551091712.000000,5.33101890012896122e-12,93836251102183.421875,93790701058648.406250,6414998.027344,12823.768109910,40724.379568000
17,8001,8500,8001,8500,500,1788205750.108349,1788246295.042368,46917553464803328.000000,5.33177429468967017e-12,93835106929606.656250,93777412989516.265625,6414919.813477,12821.951279592,40730.150084973
18,8501,9000,8501,9000,500,1788246472.141356,1788287020.384063,46919244935331840.000000,5.33114662120732563e-12,93838489870663.687500,93788454065584.640625,6415151.105469,12823.460941780,40725.355063740
19,9001,9500,9001,9500,500,1788287200.604276,1788327743.183041,46923665748525056.000000,5.33081094619177974e-12,93847331497050.109375,93794359816340.812500,6415755.537109,12824.268388742,40722.790896865
20,9501,10000,9501,10000,500,1788327898.303191,1788368449.161738,46932234401218560.000000,5.32860688607985455e-12,93864468802437.125000,93833155774011.250000,6416927.106445,12829.572862430,40705.953783491
21,10001,10500,10001,10500,500,1788368598.091413,1788409144.727372,46941908865384448.000000,5.3272506613483456e-12,93883817730768.890625,93857044052334.546875,6418249.864258,12832.839029928,40695.593452241
