step_start,step_end,tokens_b,loss_mean,loss_p10,loss_p90
1,100,0.052746,7.460588,6.269302,8.798356
101,200,0.157194,5.745948,5.467187,6.041880
201,300,0.261642,5.092585,4.910275,5.286233
301,400,0.366090,4.646110,4.567029,4.763717
401,500,0.470538,4.270137,4.106010,4.492211
501,600,0.574986,3.903851,3.807447,4.022938
601,700,0.679434,3.664739,3.593538,3.763593
701,800,0.783882,3.541100,3.461836,3.650061
801,900,0.888330,3.427230,3.368963,3.490027
901,1000,0.992778,3.400827,3.331539,3.479248
1001,1100,1.097226,3.385549,3.258210,3.603070
1101,1200,1.201674,3.238604,3.181392,3.277461
1201,1300,1.306122,3.198358,3.146903,3.261321
1301,1400,1.410570,3.133106,3.074460,3.190277
1401,1500,1.515018,3.109971,3.060553,3.163678
1501,1600,1.619466,3.047978,2.997006,3.097215
1601,1700,1.723914,3.044631,2.998584,3.089467
1701,1800,1.828362,3.003819,2.963735,3.045795
1801,1900,1.932810,2.974742,2.917620,3.027498
1901,2000,2.037258,2.945733,2.900861,2.992327
2001,2100,2.141706,2.944041,2.888816,2.989282
2101,2200,2.246154,2.920293,2.854647,2.983196
2201,2300,2.350602,2.901570,2.853661,2.953466
2301,2400,2.455050,2.869591,2.822225,2.921694
2401,2500,2.559498,2.864490,2.817276,2.909806
2501,2600,2.663946,2.855082,2.806206,2.896632
2601,2700,2.768394,2.847682,2.801322,2.903184
2701,2800,2.872842,2.824554,2.763525,2.880240
2801,2900,2.977290,2.844299,2.796208,2.890515
2901,3000,3.081738,2.813475,2.760998,2.862108
3001,3100,3.186186,2.827693,2.782572,2.874015
3101,3200,3.290634,2.802539,2.749743,2.848447
3201,3300,3.395082,2.788086,2.739945,2.844748
3301,3400,3.499530,2.773269,2.719147,2.825734
3401,3500,3.603978,2.769873,2.700319,2.830391
3501,3600,3.708426,2.790636,2.737802,2.841745
3601,3700,3.812874,2.743159,2.704300,2.785996
3701,3800,3.917322,2.747307,2.702948,2.797360
3801,3900,4.021770,2.748042,2.697186,2.792870
3901,4000,4.126218,2.748150,2.696980,2.806067
4001,4100,4.230666,2.732363,2.676333,2.786014
4101,4200,4.335114,2.712643,2.677142,2.757693
4201,4300,4.439562,2.724137,2.678535,2.766186
4301,4400,4.544010,2.731338,2.676763,2.783516
4401,4500,4.648458,2.737489,2.686225,2.793028
4501,4600,4.752906,2.663813,2.620837,2.712593
4601,4700,4.857354,2.690260,2.636901,2.739479
4701,4800,4.961802,2.703661,2.657926,2.751835
4801,4900,5.066250,2.684175,2.632470,2.733224
4901,5000,5.170698,2.679733,2.638246,2.723114
5001,5100,5.275146,2.693123,2.641386,2.738349
5101,5200,5.379594,2.659997,2.611063,2.702299
5201,5300,5.484042,2.683334,2.637742,2.723626
5301,5400,5.588490,2.655356,2.598300,2.700496
5401,5500,5.692938,2.630781,2.582568,2.673922
5501,5600,5.797386,2.620414,2.567831,2.673333
5601,5700,5.901834,2.606616,2.560073,2.655782
5701,5800,6.006282,2.655354,2.608642,2.702460
5801,5900,6.110730,2.626978,2.580362,2.679847
5901,6000,6.215178,2.648720,2.599001,2.696471
6001,6100,6.319626,2.630135,2.583635,2.681525
6101,6200,6.424074,2.635125,2.590905,2.673781
6201,6300,6.528522,2.620193,2.572074,2.676569
6301,6400,6.632970,2.618063,2.573329,2.668331
6401,6500,6.737418,2.631158,2.581035,2.682712
6501,6600,6.841866,2.614332,2.565459,2.653715
6601,6700,6.946314,2.611451,2.571823,2.651955
6701,6800,7.050762,2.627565,2.581449,2.681629
6801,6900,7.155210,2.627513,2.579194,2.679935
6901,7000,7.259658,2.600670,2.554412,2.647054
7001,7100,7.364106,2.603351,2.555754,2.654946
7101,7200,7.468554,2.619079,2.569951,2.668095
7201,7300,7.573002,2.613451,2.561867,2.663798
7301,7400,7.677450,2.595540,2.549290,2.643280
7401,7500,7.781898,2.611866,2.570515,2.661087
7501,7600,7.886346,2.555820,2.498391,2.614427
7601,7700,7.990794,2.593550,2.547737,2.639891
7701,7800,8.095242,2.584859,2.536611,2.637820
7801,7900,8.199690,2.573931,2.514051,2.623715
7901,8000,8.304138,2.561636,2.518046,2.611592
8001,8100,8.408586,2.564040,2.514122,2.606523
8101,8200,8.513034,2.574655,2.529601,2.625304
8201,8300,8.617482,2.566295,2.518091,2.623320
8301,8400,8.721930,2.575397,2.530146,2.614390
8401,8500,8.826378,2.587016,2.536797,2.623488
8501,8600,8.930826,2.562062,2.519972,2.603675
8601,8700,9.035274,2.576189,2.532431,2.625852
8701,8800,9.139722,2.553116,2.499930,2.608485
8801,8900,9.244170,2.567482,2.523023,2.612664
8901,9000,9.348618,2.556739,2.501818,2.605315
9001,9100,9.453066,2.558514,2.505802,2.613309
9101,9200,9.557514,2.561047,2.513582,2.605629
9201,9300,9.661962,2.542972,2.501772,2.589520
9301,9400,9.766410,2.533732,2.485701,2.577126
9401,9500,9.870858,2.522569,2.467849,2.566298
9501,9600,9.975306,2.533047,2.477674,2.602970
9601,9700,10.079754,2.557164,2.511595,2.605795
9701,9800,10.184202,2.541584,2.492222,2.591406
9801,9900,10.288650,2.509857,2.454217,2.557043
9901,10000,10.393098,2.525573,2.474459,2.566504
10001,10100,10.497546,2.512005,2.465281,2.559921
10101,10200,10.601994,2.559206,2.509134,2.601235
10201,10300,10.706442,2.528192,2.478518,2.569977
10301,10400,10.810890,2.536973,2.493235,2.573929
10401,10500,10.915338,2.526843,2.472201,2.573791
10501,10600,11.019786,2.516949,2.473127,2.560905
10601,10700,11.124234,2.536136,2.491752,2.585839
10701,10800,11.228682,2.510601,2.467891,2.552983
10801,10900,11.333130,2.512065,2.460753,2.569177
10901,11000,11.437578,2.512406,2.466659,2.558779
11001,11100,11.542026,2.499599,2.462554,2.538485
11101,11200,11.646474,2.503466,2.447682,2.557800
11201,11300,11.750922,2.518395,2.474659,2.573815
11301,11400,11.855370,2.514807,2.472766,2.563237
11401,11500,11.959818,2.490940,2.430773,2.548227
11501,11600,12.064266,2.485416,2.427738,2.544571
11601,11700,12.168714,2.502371,2.451546,2.546898
11701,11800,12.273162,2.482297,2.431619,2.525083
11801,11900,12.377610,2.492111,2.445950,2.532951
