timestamp, index, uuid, name, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/17 19:26:28.001, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 14.21 W, 180 MHz
2026/09/17 19:26:30.008, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 14.40 W, 180 MHz
2026/09/17 19:26:32.009, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 14.13 W, 180 MHz
2026/09/17 19:26:34.009, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 14.17 W, 180 MHz
2026/09/17 19:26:36.010, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 1 MiB, 14.39 W, 180 MHz
2026/09/17 19:26:38.011, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 15.49 W, 180 MHz
2026/09/17 19:26:40.011, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3131 MiB, 250.97 W, 2767 MHz
2026/09/17 19:26:42.012, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3131 MiB, 485.83 W, 2767 MHz
2026/09/17 19:26:44.012, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3131 MiB, 486.27 W, 2760 MHz
2026/09/17 19:26:46.013, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3131 MiB, 487.97 W, 2760 MHz
2026/09/17 19:26:48.013, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3131 MiB, 490.18 W, 2760 MHz
2026/09/17 19:26:50.014, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3131 MiB, 491.72 W, 2760 MHz
2026/09/17 19:26:52.014, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3131 MiB, 491.89 W, 2760 MHz
2026/09/17 19:26:54.015, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3131 MiB, 494.43 W, 2760 MHz
2026/09/17 19:26:56.015, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3131 MiB, 494.75 W, 2760 MHz
2026/09/17 19:26:58.016, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3131 MiB, 496.48 W, 2767 MHz
2026/09/17 19:27:00.016, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3131 MiB, 497.32 W, 2767 MHz
2026/09/17 19:27:02.016, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3133 MiB, 499.23 W, 2760 MHz
2026/09/17 19:27:04.017, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3133 MiB, 500.79 W, 2767 MHz
2026/09/17 19:27:06.017, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 58 %, 3135 MiB, 487.11 W, 2760 MHz
2026/09/17 19:27:08.018, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3219 MiB, 270.38 W, 2767 MHz
2026/09/17 19:27:10.018, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3219 MiB, 501.64 W, 2760 MHz
2026/09/17 19:27:12.019, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3219 MiB, 502.21 W, 2752 MHz
2026/09/17 19:27:14.020, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3219 MiB, 503.95 W, 2760 MHz
2026/09/17 19:27:16.020, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3219 MiB, 504.28 W, 2760 MHz
2026/09/17 19:27:18.021, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3219 MiB, 505.68 W, 2760 MHz
2026/09/17 19:27:20.021, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3219 MiB, 506.11 W, 2752 MHz
2026/09/17 19:27:22.022, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3219 MiB, 507.77 W, 2752 MHz
2026/09/17 19:27:24.022, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3219 MiB, 508.67 W, 2752 MHz
2026/09/17 19:27:26.023, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3219 MiB, 508.85 W, 2752 MHz
2026/09/17 19:27:28.023, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3219 MiB, 510.95 W, 2760 MHz
2026/09/17 19:27:30.024, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 3219 MiB, 511.95 W, 2752 MHz
