timestamp, index, uuid, name, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/17 19:28:58.828, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 15.00 W, 180 MHz
2026/09/17 19:29:00.836, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 15.01 W, 180 MHz
2026/09/17 19:29:02.837, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 14.69 W, 180 MHz
2026/09/17 19:29:04.837, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 14.94 W, 180 MHz
2026/09/17 19:29:06.838, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 14.89 W, 180 MHz
2026/09/17 19:29:08.840, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 15.93 W, 180 MHz
2026/09/17 19:29:10.840, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 14.53 W, 180 MHz
2026/09/17 19:29:12.841, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 14.68 W, 180 MHz
2026/09/17 19:29:14.841, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 14.78 W, 180 MHz
2026/09/17 19:29:16.842, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 14.77 W, 180 MHz
2026/09/17 19:29:18.842, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 14.50 W, 180 MHz
2026/09/17 19:29:20.842, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 14.53 W, 180 MHz
2026/09/17 19:29:22.843, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 14.40 W, 180 MHz
2026/09/17 19:29:24.843, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 14.59 W, 180 MHz
2026/09/17 19:29:26.844, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 10 %, 3971 MiB, 24.67 W, 2490 MHz
2026/09/17 19:29:28.845, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 427.72 W, 2767 MHz
2026/09/17 19:29:30.845, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 502.86 W, 2760 MHz
2026/09/17 19:29:32.846, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 505.02 W, 2767 MHz
2026/09/17 19:29:34.846, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 506.04 W, 2767 MHz
2026/09/17 19:29:36.846, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 507.94 W, 2767 MHz
2026/09/17 19:29:38.847, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 509.41 W, 2767 MHz
2026/09/17 19:29:40.847, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 510.40 W, 2767 MHz
2026/09/17 19:29:42.848, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 511.21 W, 2767 MHz
2026/09/17 19:29:44.848, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 512.42 W, 2767 MHz
2026/09/17 19:29:46.849, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 514.24 W, 2767 MHz
2026/09/17 19:29:48.849, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 514.90 W, 2767 MHz
2026/09/17 19:29:50.850, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 515.52 W, 2760 MHz
2026/09/17 19:29:52.850, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 517.05 W, 2760 MHz
2026/09/17 19:29:54.850, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 519.07 W, 2760 MHz
2026/09/17 19:29:56.851, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 520.08 W, 2760 MHz
2026/09/17 19:29:58.851, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 520.48 W, 2760 MHz
2026/09/17 19:30:00.852, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 521.80 W, 2760 MHz
2026/09/17 19:30:02.852, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 523.50 W, 2760 MHz
2026/09/17 19:30:04.853, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 524.20 W, 2760 MHz
2026/09/17 19:30:06.853, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 524.96 W, 2752 MHz
2026/09/17 19:30:08.854, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 100 %, 6075 MiB, 526.31 W, 2752 MHz
2026/09/17 19:30:10.854, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 6075 MiB, 526.96 W, 2752 MHz
2026/09/17 19:30:12.855, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 6075 MiB, 526.98 W, 2760 MHz
2026/09/17 19:30:14.855, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 6075 MiB, 528.68 W, 2760 MHz
2026/09/17 19:30:16.856, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 6075 MiB, 529.34 W, 2752 MHz
2026/09/17 19:30:18.856, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 6075 MiB, 529.82 W, 2752 MHz
2026/09/17 19:30:20.856, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 6075 MiB, 530.42 W, 2752 MHz
2026/09/17 19:30:22.857, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 6075 MiB, 530.75 W, 2752 MHz
2026/09/17 19:30:24.857, 0, GPU-b1b2edfb-a863-eb1f-728b-ceb91c301b7c, NVIDIA GeForce RTX 5090, 99 %, 6075 MiB, 531.59 W, 2752 MHz
