timestamp, index, uuid, name, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/17 19:27:28.359, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 22.91 W, 180 MHz
2026/09/17 19:27:30.366, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 22.67 W, 180 MHz
2026/09/17 19:27:32.367, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 22.69 W, 180 MHz
2026/09/17 19:27:34.367, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 22.76 W, 180 MHz
2026/09/17 19:27:36.367, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 22.54 W, 180 MHz
2026/09/17 19:27:38.368, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 25.06 W, 180 MHz
2026/09/17 19:27:40.368, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 3 MiB, 22.91 W, 180 MHz
2026/09/17 19:27:42.369, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 1669 MiB, 22.67 W, 180 MHz
2026/09/17 19:27:44.369, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 99 %, 3211 MiB, 446.57 W, 2850 MHz
2026/09/17 19:27:46.369, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 100 %, 3211 MiB, 574.97 W, 2850 MHz
2026/09/17 19:27:48.370, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 99 %, 3211 MiB, 574.36 W, 2842 MHz
2026/09/17 19:27:50.370, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 100 %, 3211 MiB, 574.66 W, 2842 MHz
2026/09/17 19:27:52.371, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 99 %, 3211 MiB, 575.65 W, 2842 MHz
