timestamp, index, uuid, name, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/17 19:25:57.895, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 26.09 W, 180 MHz
2026/09/17 19:25:59.902, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 25.82 W, 180 MHz
2026/09/17 19:26:01.903, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 26.22 W, 180 MHz
2026/09/17 19:26:03.903, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 25.89 W, 180 MHz
2026/09/17 19:26:05.903, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 0 %, 0 MiB, 25.98 W, 180 MHz
2026/09/17 19:26:07.904, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 2 %, 595 MiB, 50.12 W, 2392 MHz
2026/09/17 19:26:09.904, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 99 %, 2939 MiB, 553.15 W, 2850 MHz
2026/09/17 19:26:11.905, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 99 %, 2939 MiB, 556.29 W, 2842 MHz
2026/09/17 19:26:13.905, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 99 %, 2939 MiB, 556.23 W, 2850 MHz
2026/09/17 19:26:15.906, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 99 %, 2939 MiB, 556.78 W, 2850 MHz
2026/09/17 19:26:17.906, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 99 %, 2941 MiB, 544.20 W, 2842 MHz
2026/09/17 19:26:19.906, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 76 %, 3007 MiB, 333.91 W, 2850 MHz
2026/09/17 19:26:21.907, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 99 %, 3007 MiB, 558.52 W, 2842 MHz
2026/09/17 19:26:23.907, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 99 %, 3007 MiB, 559.64 W, 2842 MHz
2026/09/17 19:26:25.908, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 99 %, 3007 MiB, 560.99 W, 2842 MHz
2026/09/17 19:26:27.908, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 99 %, 3007 MiB, 545.67 W, 2850 MHz
2026/09/17 19:26:29.908, 0, GPU-4032c442-acca-95c4-0705-82255b8b0274, NVIDIA GeForce RTX 5090, 5 %, 785 MiB, 221.22 W, 2902 MHz
