timestamp, index, uuid, name, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/17 19:44:33.284, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 1 MiB, 30.55 W, 240 MHz
2026/09/17 19:44:35.294, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 1 MiB, 30.19 W, 240 MHz
2026/09/17 19:44:37.295, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 1 MiB, 30.23 W, 240 MHz
2026/09/17 19:44:39.298, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 1 MiB, 30.50 W, 240 MHz
2026/09/17 19:44:41.301, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 1 MiB, 30.52 W, 240 MHz
2026/09/17 19:44:43.305, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4 MiB, 32.85 W, 240 MHz
2026/09/17 19:44:45.308, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4 MiB, 31.01 W, 240 MHz
2026/09/17 19:44:47.311, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4 MiB, 30.51 W, 240 MHz
2026/09/17 19:44:49.313, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4 MiB, 30.93 W, 240 MHz
2026/09/17 19:44:51.315, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4 MiB, 30.94 W, 240 MHz
2026/09/17 19:44:53.317, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4 MiB, 30.52 W, 240 MHz
2026/09/17 19:44:55.321, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4 MiB, 30.98 W, 240 MHz
2026/09/17 19:44:57.324, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4 MiB, 30.63 W, 240 MHz
2026/09/17 19:44:59.327, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4 MiB, 30.44 W, 240 MHz
2026/09/17 19:45:01.331, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4 MiB, 30.49 W, 240 MHz
2026/09/17 19:45:03.334, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 3 %, 1912 MiB, 233.53 W, 2872 MHz
2026/09/17 19:45:05.337, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 1912 MiB, 529.03 W, 2872 MHz
2026/09/17 19:45:07.341, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 1912 MiB, 530.43 W, 2857 MHz
2026/09/17 19:45:09.345, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 1914 MiB, 522.05 W, 2872 MHz
2026/09/17 19:45:11.348, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 1980 MiB, 480.28 W, 2872 MHz
2026/09/17 19:45:13.352, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 1980 MiB, 530.91 W, 2842 MHz
2026/09/17 19:45:15.355, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 1980 MiB, 533.27 W, 2842 MHz
2026/09/17 19:45:17.359, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 1982 MiB, 403.87 W, 2895 MHz
