timestamp, index, uuid, name, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/17 19:42:32.610, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 1 MiB, 44.83 W, 240 MHz
2026/09/17 19:42:34.618, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 1 MiB, 32.99 W, 240 MHz
2026/09/17 19:42:36.622, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 1 MiB, 31.26 W, 240 MHz
2026/09/17 19:42:38.623, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 1 MiB, 31.59 W, 240 MHz
2026/09/17 19:42:40.625, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 1 MiB, 30.86 W, 240 MHz
2026/09/17 19:42:42.628, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4 MiB, 32.35 W, 240 MHz
2026/09/17 19:42:44.631, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4 MiB, 31.55 W, 240 MHz
2026/09/17 19:42:46.633, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 0 %, 4542 MiB, 64.05 W, 2542 MHz
2026/09/17 19:42:48.635, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 4542 MiB, 471.45 W, 2797 MHz
2026/09/17 19:42:50.638, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 97 %, 4542 MiB, 473.75 W, 2820 MHz
2026/09/17 19:42:52.640, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 97 %, 4542 MiB, 475.41 W, 2797 MHz
2026/09/17 19:42:54.643, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 4542 MiB, 476.67 W, 2812 MHz
2026/09/17 19:42:56.647, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 4542 MiB, 472.05 W, 2797 MHz
2026/09/17 19:42:58.650, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 4616 MiB, 390.84 W, 2917 MHz
2026/09/17 19:43:00.653, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 2 %, 4616 MiB, 98.25 W, 2527 MHz
2026/09/17 19:43:02.657, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 4536 MiB, 477.75 W, 2820 MHz
2026/09/17 19:43:04.660, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 4536 MiB, 479.50 W, 2820 MHz
2026/09/17 19:43:06.664, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 4536 MiB, 479.78 W, 2812 MHz
2026/09/17 19:43:08.667, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 4536 MiB, 480.38 W, 2820 MHz
2026/09/17 19:43:10.672, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 4536 MiB, 481.21 W, 2797 MHz
2026/09/17 19:43:12.675, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 99 %, 4536 MiB, 484.98 W, 2805 MHz
2026/09/17 19:43:14.678, 0, GPU-753c4dc5-8590-5033-bfdb-c837e57aa6b6, NVIDIA GeForce RTX 5090, 5 %, 4536 MiB, 104.76 W, 2797 MHz
